,guild_name,tanks,healers,dps_melee,dps_ranged
0,B l o o d H e l l,2,4,6,8
1,Blessing of Wisdom,2,4,6,8
2,Blur,2,4,4,10
3,Colour,2,3,6,9
4,Country Club0909,2,3,5,10
5,Crimson,2,4,5,9
6,Dark Maggots Empire,2,4,5,9
7,Demoted,2,4,6,8
8,Dont Release0909,2,4,8,6
9,Familiar with Drama,2,4,6,8
10,First oasis0909,2,4,6,8
11,Hazard,2,4,5,9
12,Honolulu,2,4,8,6
13,HC3A9ritage0909,2,4,5,9
14,Innervision0909,2,4,6,8
15,Invalid Target,2,4,7,7
16,Khala,2,4,5,9
17,Kultzipuppelit,2,4,6,8
18,Muscle Memory0909,2,4,6,8
19,Nerd Crew,2,3,7,8
20,OE Midweek0909,2,4,8,6
21,Pescorus,2,4,7,7
22,Phoenix,2,4,4,10
23,PC3BAlse,2,4,7,7
24,Raido,2,4,6,8
25,Restricted0909,2,4,8,6
26,Revolutionist,2,4,6,8
27,Salt Mines0909,2,4,6,8
28,Shattrath Island,2,4,7,7
29,Skepsis,2,4,7,7
30,Spike Flail093palinsf09,2,4,7,7
31,Spiral Out0909,2,4,8,6
32,Temerity,2,4,4,10
33,Tree New BeeO,2,4,5,9
34,Unending,2,3,5,10
35,Vindicatum0909,2,3,6,9
36,Witness,2,4,8,6
37,Wow ares,2,4,4,10
38,baited,2,4,6,8
39,macht DRUCK0909,2,4,6,8
40,meteor-n,2,4,5,9
41,ohno,2,4,8,6
42,vodka,2,5,5,8
43,D0ADD0B9D0B4D0B6,2,4,5,9
44,E4B8AAE4BABAE8AEB0E5BD95,2,4,6,8
45,E998BFE5B094E6B395,2,4,4,10
46,E9AD94 E7A59E,2,4,5,9
47,E9BE99E7A390,2,4,5,9
48,EAB3A0EBA5B8ED9687EC82B4,2,4,5,9
49,Hexonyx Dawn0909,2,4,6,8
50,E5B9BCE584BFE59BADE59CA8E98083,2,4,7,7
51,The End,2,4,7,7
52,E69F92E69F92E4B8B6,2,4,7,7
53,Nivose,2,4,5,9
54,Am I Muted,2,4,6,8
55,Never AFK E4B880E59BA2,2,4,6,8
56,Never AFK,2,4,6,8
57,E5A5BDE8BF90E69D91E4B98BE69993,2,4,6,8
58,E69AAEE58589E59295E58F8BE4BC9A,2,4,6,8
59,M Y S T,2,4,8,6
60,E4B99DE6AD8CE790B3E79085 E5B08FE7868AE78CABE59BA2,2,4,6,8
61,D0A2D191D0BCD0BDD18BD0B9 D0A3D0B3D0BED0BBD0BED0BA,2,4,6,8
62,District,2,4,6,8
63,Kaiju,2,4,5,9
64,On Sight,2,4,4,10
65,Grizzly Hills Track Team,2,4,6,8
66,ASY,2,5,5,8
67,NOCCO,2,4,5,9
68,Idiot,2,3,8,7
69,Formality,2,4,8,6
70,Access Denied0909,2,4,7,7
71,D094D0B5D180D0B6D0B8D182D0B5 D0B2 D0BAD183D180D181D0B5,2,4,6,8
72,Flawless,2,4,6,8
73,MM,2,4,5,9
74,not amused0909,2,4,5,9
75,LastStand,2,4,6,8
76,Team Solo Wipe,2,4,6,8
77,E4B88DE88081E5AE9EE68993E69CACE5B0B1E4BC9AE8A2ABE68A93E58EBBE5928CE78C8EE9A9ACE4BABAE8BF9EE9BAA6,2,4,5,9
78,D0A1D0B5D0BBD184D0BBD0B5D181D181,2,4,5,9
79,TwistedSin,2,3,5,10
80,poptart corndoG,2,4,6,8
81,Jump Off,2,4,5,9
82,Epos,2,4,5,9
83,Benched,2,3,6,9
84,D09DD0B5D0B6D0BDD18BD0B5 D09FD0B5D0BFD0B5D0B3D0B8,2,4,7,7
85,Revolt,2,4,5,9
86,Infinity,2,3,8,7
87,D090D0A5D0A0D0A4,2,4,6,8
88,Stones,2,4,5,9
89,E587AFE5B094E88EABE7BD95E8A681E5A19E,2,4,5,9
90,E98592E9A686,2,4,6,8
91,SPEL,2,5,5,8
92,E8939DE5BF83E590ACE99BA8,2,4,5,9
93,K o K,2,4,8,6
94,Rally,2,3,7,8
95,Winters Heart,2,4,6,8
96,No Dice,2,4,6,8
97,For the Glory of JO JO,2,5,5,8
98,The Next Step,2,4,7,7
99,E596B5E7AA9D,2,4,7,7
100,Unfortunate0909,2,4,6,8
101,Red Dragon Society,2,4,6,8
102,Coin Flip,2,4,8,6
103,Vigil,2,4,5,9
104,Depleted in Time,2,4,7,7
105,E586B7E6B6A9,2,4,5,9
106,The Sparks,2,3,5,10
107,Jurupinga,2,3,8,7
108,Seriously,2,4,5,9
109,Ascended,2,3,5,10
110,Tyrannical,2,4,6,8
111,Suit Up,2,4,8,6
112,Meridies,2,3,7,8
113,oops,2,4,6,8
114,E587A1E5B094E8B59BE88CB6E9A686,2,4,4,10
115,E794B7E5A1BE,2,4,5,9
116,Sabotage,2,4,6,8
117,Alexa Pull Ten,2,4,6,8
118,PrC3B8ject UnknC3B8wn,2,4,8,6
119,E59C8BE5A3ABE784A1E99B99,2,4,7,7
120,E58DA7E9BE99E587A4E99B8FE5928CE5BE90E5BAB6,2,4,4,10
121,Renewal Gaming,2,4,6,8
122,EAB5ACEB8D94EAB8B0,2,4,6,8
123,D09AD0B0D0B9D0B7D0B5D180,2,4,5,9
124,D0A8D0B5D0BED0B3D0BED180D0B0D182,2,4,7,7
125,E5A49CE99A90E892B8E89A8C,2,4,6,8
126,E892B8E89A8Cplus,2,4,6,8
127,Unrivaled,2,3,6,9
128,D097D0B0 D0BAD0BED180D0BED0BBD0B5D0B2D183 D0B8 D180D0BED189D183,2,4,6,8
129,Epic Wipe,2,4,7,7
130,Glass Cannon0909,2,4,5,9
131,E58C96E8A39DE8889EE4BC9A,2,4,4,10
132,ALL J 8 HOMIE0909,2,4,6,8
133,Atlantik,2,4,6,8
134,Umbra Devotum,2,3,5,10
135,Casual Raiders,2,4,7,7
136,Wrath of Tyrants,2,4,5,9
137,D09DD0B0D0BBD0B5D0B3D0BAD0B5,2,4,8,6
138,Unlucky,2,3,7,8
139,E5BDBCE5B2B8E9B8BDE589A7E999A2,2,4,6,8
140,Indomitus,2,4,5,9
141,Dark Hearts0909,2,4,6,8
142,E4B8A8E4BFA1E4BBB0E4B8A8,2,4,5,9
143,Atom,2,4,6,8
144,Carried by RNG,2,4,8,6
145,Conviction0909,2,3,7,8
146,Wizards and Monkeys,2,3,5,10
147,Pull on Two0909,2,4,5,9
148,Hexplosive Alchemists,2,4,6,8
149,Genesis,2,4,6,8
150,Apex,2,4,9,5
151,Plague,2,4,7,7
152,Rhythm,2,4,7,7
153,SpikeTang,2,4,5,9
154,E5AFBBE6809DE4B8B6,2,4,5,9
155,D097D0BED0B2 D0A1D0B0D180D0B3D0B5D180D0B0D181D0B0,2,4,6,8
156,Final Judgement,2,4,7,7
157,Vacancy,2,4,6,8
158,CyLxE887ADE9B1BCE78382E899BE,2,4,7,7
159,Last Resort0909,2,4,5,9
160,D09CD0B0D180D188D180D183D182D0BAD0B0 D0B4D0BE D09ED180D0B3D180D0B8D0BCD0BCD0B0D180D0B0,2,4,5,9
161,E38090E58589E6988EE7A59EE59F9FE38091,2,4,6,8
162,EC9C84EB939C,2,4,5,9
163,Scythe,2,4,7,7
164,Lower,2,4,8,6
165,Divided by Friendship,2,4,6,8
166,Commit,2,3,6,9
167,E58D8AE59F8EE7839FE6B299-E9B8ADE9B8ADE59BA2,2,4,5,9
168,Zonk,2,4,5,9
169,Sin Qiraj,2,4,6,8
170,Clown Return0909,2,5,5,8
171,Big Pumpers Anonymous,2,4,7,7
172,E4B880E58D83E99BB6E4B880E5A49C_2021,2,4,6,8
173,Defenestrate0909,2,4,7,7
174,Heck,2,4,6,8
175,Distilled Madness,2,4,6,8
176,Guerra Nel cos,2,4,5,9
177,E5ADA6E58CBBE69591E4B88DE4BA86E983A8E890BD,2,4,6,8
178,Part Time Pro,2,4,8,6
179,Real Friend0909,2,4,5,9
180,ZYQA,2,4,5,9
181,Addicted,2,4,5,9
182,E7B981E6A2A6,2,4,5,9
183,D090D0B2D0B0D0BDD0B3D0B0D180D0B4,2,4,6,8
184,D0ADD181D0BAD0B0D0B4D180D0BED0BD,2,4,4,10
185,Underrated Clowns,2,4,4,10
186,Modus,2,4,6,8
187,Helmet Check091ghettooscar4509,2,4,8,6
188,Reflection0909,2,4,5,9
189,Hilikus,2,4,4,10
190,Pact,2,4,5,9
191,War Dogs,2,4,4,10
192,E69F93E5AE9DE5AE9D,2,3,5,10
193,Flavor of the Month,2,4,7,7
194,The Burning Seagull,2,4,5,9
195,EmptyPromises,2,4,7,7
196,Dawn of the Undead,2,4,8,6
197,Pantagoons0909,2,4,5,9
198,Group Five0909,2,4,7,7
199,FFXIV Waiting Room,2,4,7,7
200,D0A0D0BED0BAD0BDD0A0D0BED0BBD0BBD0B0,2,3,6,9
201,E5B08FE5A790E5A790E79A84E799BDE7BB99E5ADA6E999A2,2,4,6,8
202,weBad,2,4,8,6
203,Abaddon,2,4,5,9
204,E5A4A9E4BDBFE7A59EE6AEBF,2,4,4,10
205,Serious Gods0909,2,4,6,8
206,Status Quo,2,4,6,8
207,Der schmale Grat,2,4,8,6
208,Celestials0909,2,4,6,8
209,Ethereal,2,4,6,8
210,E596B5E6989F,2,4,7,7
211,E98B92E88A92E4B8B6,2,4,5,9
212,Eternal Kingdom,2,4,6,8
213,E8BE9BE5A49AE99BB7E79A84E68CBDE6AD8C,2,4,7,7
214,RC3A2ven0909,2,4,4,10
215,unlucky i guess,2,4,5,9
216,Cruel Intention,2,4,6,8
217,Behemoth,2,4,6,8
218,E5B7A8E9BE99E4B98BE5B7A2,2,4,7,7
219,E8AEB0E5BF86NB,2,4,6,8
220,E69D8FE590A7,2,4,6,8
221,Polarize,2,4,6,8
222,E88081E9AAA5E4BC8FE69EA5,2,4,5,9
223,Disco Clowns0909,2,4,6,8
224,Omnicide,2,4,6,8
225,D0A1D182D180D0B0D0B6D0B8 D092D0BED0BBD188D0B5D0B1D0BDD0BED0B3D0BE D09BD0B5D181D0B0,2,4,4,10
226,Before the Storm,2,4,6,8
227,DreamOn,2,4,6,8
228,Expect Us,2,4,6,8
229,The Midnight0909,2,4,7,7
230,Homie,2,4,6,8
231,Ambition,2,4,8,6
232,EquC3AFnC3B8x,2,3,7,8
233,D090D0B2D0B0D0BDD0B3D0B0D180D0B4 D090D0BBD18CD184D0B0,2,4,5,9
234,Uptime,2,4,5,9
235,Say No More ANO,2,4,6,8
236,Inversion,2,3,5,10
237,Spicy Personas,2,4,5,9
238,q it up,2,4,7,7
239,Skill Issue0909,2,3,4,11
240,Dummy Thicc0909,2,4,7,7
241,Grey,2,3,8,7
242,Visible Confusion,2,3,6,9
243,E7A59EE4B98BE5BDBCE5B2B8,2,4,6,8
244,TrC3B6tt Guild,2,3,6,9
245,E5ADA4E58592E58B95E789A9E59C92,2,3,5,10
246,Paragon,2,4,6,8
247,EclC3ADpse0909,2,4,4,10
248,Raiding Is Hard,2,3,8,7
249,Ethical,2,4,7,7
250,The Hub,2,4,5,9
251,BadKarma,2,3,6,9
252,Souls of Damnation,2,4,6,8
253,Dustbringer0909,2,3,7,8
254,Iron Werewolves,2,4,5,9
255,Endure,2,3,6,9
256,Broilers,2,4,6,8
257,The Nightshade,2,4,7,7
258,Lions Pride0909,2,4,6,8
259,Raze,2,4,5,9
260,Avalerion,2,4,8,6
261,Invictus Mortiferis,2,3,7,8
262,PTH - Mythic Team,2,3,8,7
263,No Way Back0909,2,4,7,7
264,Wipe it Out0909,2,4,6,8
265,Dont Heal Phase One,2,4,5,9
266,Shattered,2,4,7,7
267,E V O,2,4,6,8
268,Enrage Kills Only,2,4,5,9
269,D094D0B5D0BFD0BE,2,4,7,7
270,Symbiosis,2,3,6,9
271,Zul Alman,2,4,7,7
272,E887B4E8BF9C,2,4,4,10
273,Boys in the band,2,4,6,8
274,EAB7B8EB9E98EC9588EAB7B8EB9E98,2,4,6,8
275,Bungalow Boys,2,4,8,6
276,Pioneer,2,4,5,9
277,Couch Drei0909,2,4,4,10
278,Stacked,2,4,7,7
279,E5A58BE69697E79A84E99D92E698A5,2,4,6,8
280,TENET,2,4,6,8
281,Spectrum,2,4,6,8
282,PC3BCrge0909,2,4,6,8
283,We Do Stuff and Things,2,4,6,8
284,D094D0B5D0B4D0BBD0B0D0B9D0BD D0A1D0B5D0B3D0BED0B4D0BDD18F0909,2,4,8,6
285,Incognito,2,3,6,9
286,Children of Gloy,2,4,6,8
287,E69C80E5889DE781AC,2,4,5,9
288,Primori Morte0909,2,4,8,6
289,The Hellfront,2,4,6,8
290,E58B87E6B094,2,4,6,8
291,Groggfest,2,4,5,9
292,Counterplay0909,2,3,6,9
293,Certified Pumpers,2,4,8,6
294,Incarnate,2,4,4,10
295,ImagineDragons,2,4,5,9
296,Iris,2,4,6,8
297,Heralds of Dawn,2,4,5,9
298,Jade Falcons0909,2,4,6,8
299,Apostles of Dionysus,2,4,6,8
300,Prestige,2,4,6,8
301,E59687E58FADE5BF83E9878CE88BA6E4BD86E59687E58FADE4B88DE8AFB4,2,4,6,8
302,Cursed Gifts0909,2,4,7,7
303,HitchHikers Guide,2,3,9,6
304,E68CBDE4B8A8E6AD8C,2,4,7,7
305,OE Weekend,2,4,6,8
306,Miracle,2,3,6,9
307,FRISPEL,2,4,5,9
308,Trashcan,2,4,6,8
309,Storytime,2,4,6,8
310,Perfectly Preserved Cake,2,4,6,8
311,Envelop,2,4,6,8
312,Stellariss0909,2,4,7,7
313,D0A8D191D0BFD0BED182,2,4,5,9
314,High Quality0909,2,4,6,8
315,E5A4A2 E98692,2,4,7,7
316,Fathom,2,4,6,8
317,Glory of the Warsong,2,5,5,8
318,Welcome,2,4,6,8
319,OG Feedback0909,2,4,5,9
320,Indecision0909,2,4,6,8
321,Pineapple,2,4,6,8
322,Dimension,2,4,6,8
323,Average Pillagers,2,4,6,8
324,Liberty and Allegiance,2,4,8,6
325,Sixth Man,2,4,5,9
326,Unorganized0909,2,4,6,8
327,check the tapes,2,4,6,8
328,D0A0D0B5D0B2D0BED0BBD18ED186D0B8D18F,2,4,5,9
329,slumber party,2,4,6,8
330,Trivial Pursuit,2,4,8,6
331,Korrupt,2,4,6,8
332,rise again0909,2,4,7,7
333,SylvanaS1,2,4,6,8
334,Arkadia,2,4,5,9
335,ALAMAK,2,4,4,10
336,Fallen Empire,2,4,6,8
337,The ImmortalityE4B88DE69CBD,2,4,8,6
338,E8819AE682A6E983A8,2,4,5,9
339,Schattenspiel0909,2,4,6,8
340,E5A587E58F98E581B6E4B88DE58F98 E7ACA6E58FB7E79C8BE8B1A1E99990,2,4,4,10
341,D092D0BED0BBD0BED0BDD182D191D180D18B D092D0B5D187D0BDD0BED181D182D0B8,2,4,6,8
342,E582B2  E8A180  E88DA3  E88080,2,4,6,8
343,E4B8ADE88FAFE4B880E795AA,2,4,6,8
344,E5A588E890BDE4B98BE5AD90,2,4,5,9
345,D098D0BDD181D0B0D0B9D182,2,4,7,7
346,CrownLight0909,2,4,5,9
347,The Art of War,2,4,5,9
348,ZugHub,2,4,6,8
349,Advance,2,3,5,10
350,C390ark inside,2,4,5,9
351,E587AFE6978B,2,4,5,9
352,Enrage Timer0909,2,4,7,7
353,E596B5E596B5E7AA9D,2,4,6,8
354,D094D0B2D0B0 D0B4D0BDD18F D0B4D0BE D09AD180D0BED0BCD0BAD0B8,2,4,4,10
355,E585B1E8B88FE4BABAE7949FE6BCABE995BFE8B7AF,2,4,5,9
356,E5BDB1E980B8E6989FE8BEB0E38080,2,4,7,7
357,Side Effect0909,2,4,6,8
358,D090D0BDD0BDD0B8D0B3D0B8D0BBD18FD186D0B8D18F,2,4,6,8
359,Spoon Fed,2,4,6,8
360,Deified,2,4,8,6
361,E6989FE9BB8EE6AEBF,2,4,7,7
362,E58589E6988EE9BC8E,2,4,6,8
363,E698A5E5A4A9E88AB1E88AB1E5B9BCE7A89AE59C92,2,4,5,9
364,On The Journey_9.2,2,4,7,7
365,E9A38EE695B2E7ABB9E5BDB1,2,4,5,9
366,E58D8AE59F8EE7839FE6B299-E6888FE78FADE5AD90,2,4,7,7
367,E6B2A7E6B5B7E98090E6989FE8BEB0,2,4,8,6
368,Cerebral,2,4,7,7
369,Robot House0909,2,4,9,5
370,Be Water My Friends,2,4,5,9
371,The Last Pull,2,4,7,7
372,E98090E9A38E,2,4,5,9
373,Knowledge is Power,2,4,5,9
374,Eternal Shadows,2,4,8,6
375,With Valor0909,2,4,6,8
376,E5A499E684BFpve,2,4,5,9
377,Awita de uwu0909,2,4,6,8
378,New Reunion0909,2,4,5,9
379,IncendarC3ADus,2,4,6,8
380,E7BB9DE4B896,2,5,6,7
381,Tale of the Past,2,5,7,6
382,Swamp Animals,2,4,7,7
383,Imposters,2,3,8,7
384,When Dreams Become Memes,2,4,6,8
385,Copium,2,3,7,8
386,Review the Data,2,3,3,12
387,Amazing Stories,2,4,5,9
388,Wiping As Intended,2,3,8,7
389,SOMA,2,3,6,9
390,Hiraeth,2,3,7,8
391,Late Night NWO,2,4,7,7
392,Fun with Friends,2,3,5,10
393,Dantuwins Erben,2,4,6,8
394,OBSCURE REFERENCE,2,4,6,8
395,Acheron,2,3,7,8
396,EZPZ,2,4,6,8
397,No Pain No Baguette,2,4,6,8
398,Seekers of Eternity,2,4,6,8
399,E9A2A0E58092E6A2A6E683B3,2,4,6,8
400,Hollowed,2,4,7,7
401,Onerous,2,4,6,8
402,I Just Want CE,2,3,7,8
403,Alpha,2,4,7,7
404,The Lunatics0909,2,4,5,9
405,Awkward,2,4,7,7
406,Beyond Darkness,2,4,6,8
407,E68AB1E59BA2,2,4,5,9
408,E98791E889B2E983A8E890BDE5B9BBE683B3E69BB2,2,4,6,8
409,E69C9DE59CA3E88085E79A84E6AF92E798A4E6AF9BE680AAE4BBAC,2,4,7,7
410,Ad Hominem0909,2,4,5,9
411,The Last Gentleness,2,4,5,9
412,Cant find a guild,2,4,6,8
413,Resync,2,4,5,9
414,Hodor,2,4,5,9
415,Almost Perfect,2,4,8,6
416,Helheim,2,3,8,7
417,Crackers and Rice,2,3,5,10
418,Ardent,2,3,5,10
419,Rancour,2,4,4,10
420,Superbia,2,4,6,8
421,E586B0E6BF80E5878C,2,3,6,9
422,Ignite,2,4,6,8
423,BadCrew,2,4,7,7
424,Hostile,2,4,7,7
425,Oncle Bench0909,2,3,5,10
426,Sora,2,4,7,7
427,BrethrenCourt,2,4,7,7
428,E69697E9B1BC5660103,2,4,7,7
429,Insuperabilis,2,4,6,8
430,Insatiable0909,2,4,6,8
431,Semper Danica,2,4,7,7
432,DuskTillDawn0909,2,4,7,7
433,ECA1B0EBA598ED9599ED9A8C,2,4,6,8
434,Gray Parses Only,2,3,7,8
435,Eminence,2,3,7,8
436,Mid Tier Crisis,2,4,6,8
437,Rewind,2,4,6,8
438,D091D0B0D0BDD0B4D0B0 D091D0B5D188D0B5D0BDD18BD185 D09AD180D0B0D0B1D0B0D0BDD0BED0B2,2,4,6,8
439,Supremo Tribunal do Urso,2,4,3,11
440,The Immortal Shadow,2,3,8,7
441,E4B883E58FB7E88D92E5B29B,2,4,5,9
442,Joint Forces0909,2,4,8,6
443,Alter Ego,2,4,6,8
444,Chains of Perdition,2,3,7,8
445,E78BBC E59BBE E885BE,2,4,5,9
446,Chaotic Descent,2,4,5,9
447,Rise,2,3,7,8
448,OMFG Kittens0909,2,4,7,7
449,postnerf,2,4,6,8
450,Gratz,2,4,7,7
451,E6B0B4E5A2A8E6B19FE58D97,2,4,5,9
452,UndC3ADsputeD,2,4,5,9
453,Individual Mistakes,2,4,7,7
454,E88080E69C88E591A8E69CABE59BA2,2,4,6,8
455,Night Crew0909,2,4,8,6
456,Inner Sanctum,2,4,4,10
457,Trolltyg,2,4,5,9
458,CoolPlay,2,4,7,7
459,E591BDE8BF90E4B98BE78EAF,2,4,6,8
